platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
5256,Galil AR | Tuxedo (Battle-Scarred),2026-04-06 23:07:14.052468,2.62,102,2.5,5
1252,Galil AR | Tuxedo (Factory New),2026-04-06 20:54:07.550729,27.28,1002,26.6,64
43875,Galil AR | Tuxedo (Field-Tested),2026-04-06 20:48:42.679147,4.24,294,3.9,18
1306,Galil AR | Tuxedo (Minimal Wear),2026-04-06 20:55:12.610454,12.5,394,12.0,27
56366,Galil AR | Tuxedo (Well-Worn),2026-04-06 23:21:19.247592,4.3,26,2.4,4
103392,Galil AR | Urban Rubble (Battle-Scarred),2026-04-06 23:24:34.181982,99.89,3,51.0,4
51027,Galil AR | Urban Rubble (Factory New),2026-04-06 23:03:59.118314,309.99,37,271.0,12
56277,Galil AR | Urban Rubble (Field-Tested),2026-04-06 23:13:44.300211,71.77,35,64.0,5
49945,Galil AR | Urban Rubble (Minimal Wear),2026-04-06 20:51:57.523508,79.99,21,72.0,5
59002,Galil AR | Urban Rubble (Well-Worn),2026-04-06 16:50:41.431756,188.0,1,54.0,1
45212,Galil AR | VariCamo (Battle-Scarred),2026-04-06 21:01:42.717314,0.3,45,0.23,5
2031,Galil AR | VariCamo (Factory New),2026-04-06 20:48:42.679147,5.25,607,5.1,32
636,Galil AR | VariCamo (Field-Tested),2026-04-06 20:48:42.679147,0.31,195,0.27,8
43306,Galil AR | VariCamo (Minimal Wear),2026-04-06 20:49:47.578142,0.37,293,0.36,14
50831,Galil AR | VariCamo (Well-Worn),2026-04-06 23:13:44.300211,0.31,40,0.25,6
55420,Galil AR | Winter Forest (Battle-Scarred),2026-04-06 16:35:44.219580,800.0,3,98.0,3
58150,Galil AR | Winter Forest (Factory New),2026-04-06 23:23:29.393383,3999.5,4,900.0,2
55425,Galil AR | Winter Forest (Field-Tested),2026-04-06 23:10:29.160742,198.99,17,107.0,4
56843,Galil AR | Winter Forest (Minimal Wear),2026-04-06 23:15:54.144812,449.0,7,212.0,4
369,Gamma 2 Case,2026-04-06 16:41:42.307518,22.2,10000,21.8,40
358,Gamma Case,2026-04-06 23:32:09.336617,22.75,10000,22.3,49
50918,Gift Package,2026-04-06 20:41:07.463657,56.48,51,45.0,10
56352,Glock-18 | Blue Fissure (Battle-Scarred),2026-04-06 20:35:42.337316,16.77,33,15.3,8
51297,Glock-18 | Blue Fissure (Factory New),2026-04-06 23:08:19.069511,399.0,28,382.0,14
34974,Glock-18 | Blue Fissure (Field-Tested),2026-04-06 20:42:12.375446,18.93,119,17.9,13
3530,Glock-18 | Blue Fissure (Minimal Wear),2026-04-06 20:34:37.401554,61.22,445,57.0,26
53057,Glock-18 | Blue Fissure (Well-Worn),2026-04-06 20:46:32.420472,17.3,25,14.2,8
55619,Glock-18 | Brass (Battle-Scarred),2026-04-06 23:12:39.131020,733.0,3,335.0,1
48337,Glock-18 | Brass (Factory New),2026-04-06 23:07:14.052468,2670.0,88,2200.0,8
49075,Glock-18 | Brass (Field-Tested),2026-04-06 20:45:27.525679,389.46,122,373.0,13
43650,Glock-18 | Brass (Minimal Wear),2026-04-06 23:13:44.300211,780.0,98,707.0,10
54174,Glock-18 | Brass (Well-Worn),2026-04-06 23:06:09.414411,459.0,8,,1
2009,Glock-18 | Bullet Queen (Battle-Scarred),2026-04-06 18:14:42.203921,386.0,12,359.0,10
45493,Glock-18 | Bullet Queen (Factory New),2026-04-06 18:14:42.203921,1499.0,359,1470.0,69
46026,Glock-18 | Bullet Queen (Well-Worn),2026-04-06 18:14:42.203921,387.0,29,370.0,10
48430,Glock-18 | Bunsen Burner (Battle-Scarred),2026-04-06 20:44:22.539544,4.47,266,3.8,16
