platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
,★ Gut Knife | Lore (Well-Worn),2026-04-06 17:04:42.865716,0.0,0,0.0,0
,★ Hand Wraps | Badlands (Minimal Wear),2026-04-06 16:59:41.971476,0.0,0,0.0,0
,★ Hand Wraps | Desert Shamagh (Factory New),2026-04-06 18:41:42.565888,0.0,0,0.0,0
,★ Hand Wraps | Slaughter (Field-Tested),2026-04-06 16:56:42.757966,0.0,0,0.0,0
,★ Hand Wraps | Spruce DDPAT (Minimal Wear),2026-04-06 16:59:41.971476,0.0,0,0.0,0
,★ Karambit,2026-04-06 23:19:09.225198,0.0,0,0.0,0
,★ Karambit | Autotronic (Field-Tested),2026-04-06 16:50:41.431756,0.0,0,0.0,0
,★ Karambit | Black Laminate (Battle-Scarred),2026-04-06 16:38:42.813529,0.0,0,0.0,0
,★ Karambit | Black Laminate (Field-Tested),2026-04-06 16:45:41.462792,0.0,0,0.0,0
,★ Karambit | Black Laminate (Well-Worn),2026-04-06 16:58:41.612927,0.0,0,0.0,0
,★ Karambit | Blue Steel (Battle-Scarred),2026-04-06 23:16:59.160652,0.0,0,0.0,0
,★ Karambit | Blue Steel (Field-Tested),2026-04-06 23:22:24.277255,0.0,0,0.0,0
,★ Karambit | Blue Steel (Minimal Wear),2026-04-06 21:00:37.712848,0.0,0,0.0,0
,★ Karambit | Blue Steel (Well-Worn),2026-04-06 23:18:04.543946,0.0,0,0.0,0
,★ Karambit | Bright Water (Factory New),2026-04-06 16:43:43.443982,0.0,0,0.0,0
,★ Karambit | Case Hardened (Battle-Scarred),2026-04-06 23:14:49.035998,0.0,0,0.0,0
,★ Karambit | Case Hardened (Field-Tested),2026-04-06 23:06:09.414411,0.0,0,0.0,0
,★ Karambit | Case Hardened (Minimal Wear),2026-04-06 23:13:44.300211,0.0,0,0.0,0
,★ Karambit | Case Hardened (Well-Worn),2026-04-06 23:06:09.414411,0.0,0,0.0,0
,★ Karambit | Crimson Web (Battle-Scarred),2026-04-06 23:20:14.105087,0.0,0,0.0,0
,★ Karambit | Crimson Web (Field-Tested),2026-04-06 20:59:32.605741,0.0,0,0.0,0
,★ Karambit | Crimson Web (Minimal Wear),2026-04-06 23:19:09.225198,0.0,0,0.0,0
,★ Karambit | Damascus Steel (Factory New),2026-04-06 20:59:32.605741,0.0,0,0.0,0
,★ Karambit | Damascus Steel (Field-Tested),2026-04-06 23:26:44.368006,0.0,0,0.0,0
,★ Karambit | Damascus Steel (Minimal Wear),2026-04-06 23:06:09.414411,0.0,0,0.0,0
,★ Karambit | Damascus Steel (Well-Worn),2026-04-06 23:24:34.181982,0.0,0,0.0,0
,★ Karambit | Doppler (Factory New),2026-04-06 20:37:52.478664,0.0,0,0.0,0
,★ Karambit | Freehand (Factory New),2026-04-06 16:43:43.443982,0.0,0,0.0,0
,★ Karambit | Lore (Field-Tested),2026-04-06 16:43:43.443982,0.0,0,0.0,0
,★ Karambit | Lore (Minimal Wear),2026-04-06 16:41:42.307518,0.0,0,0.0,0
,★ Karambit | Marble Fade (Factory New),2026-04-06 23:14:49.035998,0.0,0,0.0,0
,★ Karambit | Night (Minimal Wear),2026-04-06 21:00:37.712848,0.0,0,0.0,0
,★ Karambit | Slaughter (Minimal Wear),2026-04-06 20:57:22.648193,0.0,0,0.0,0
,★ Karambit | Stained (Minimal Wear),2026-04-06 23:27:49.212140,0.0,0,0.0,0
,★ Karambit | Tiger Tooth (Factory New),2026-04-06 20:48:42.679147,0.0,0,0.0,0
,★ Karambit | Ultraviolet (Minimal Wear),2026-04-06 23:21:19.247592,0.0,0,0.0,0
