platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
553370873,★ Butterfly Knife | Ultraviolet (Minimal Wear),2026-04-06 17:04:42.865716,6159.77,11,0.0,0
26285,★ Butterfly Knife | Urban Masked (Minimal Wear),2026-04-06 23:14:49.035998,3913.74,5,0.0,0
334192251,★ Driver Gloves | Diamondback (Field-Tested),2026-04-06 16:58:41.612927,4738.25,55,0.0,0
337162842,★ Driver Gloves | Lunar Weave (Field-Tested),2026-04-06 16:58:41.612927,7138.33,54,0.0,0
553370888,★ Gut Knife | Lore (Well-Worn),2026-04-06 17:04:42.865716,916.05,2,0.0,0
489899185,★ Hand Wraps | Badlands (Minimal Wear),2026-04-06 16:59:41.971476,8446.47,21,0.0,0
813152471018524672,★ Hand Wraps | Desert Shamagh (Factory New),2026-04-06 18:41:42.565888,5114.71,3,0.0,0
295893119,★ Hand Wraps | Slaughter (Field-Tested),2026-04-06 16:56:42.757966,5322.51,75,0.0,0
489972055,★ Hand Wraps | Spruce DDPAT (Minimal Wear),2026-04-06 16:59:41.971476,6695.36,40,0.0,0
26656,★ Karambit,2026-04-06 23:19:09.225198,8268.99,45,0.0,0
189343005,★ Karambit | Autotronic (Field-Tested),2026-04-06 16:50:41.431756,6978.63,62,0.0,0
3792684,★ Karambit | Black Laminate (Battle-Scarred),2026-04-06 16:38:42.813529,4748.59,11,0.0,0
135147930,★ Karambit | Black Laminate (Field-Tested),2026-04-06 16:45:41.462792,5385.64,30,0.0,0
354728585,★ Karambit | Black Laminate (Well-Worn),2026-04-06 16:58:41.612927,4985.48,14,0.0,0
26523,★ Karambit | Blue Steel (Battle-Scarred),2026-04-06 23:16:59.160652,5332.29,4,0.0,0
27052,★ Karambit | Blue Steel (Field-Tested),2026-04-06 23:22:24.277255,5870.85,10,0.0,0
24759,★ Karambit | Blue Steel (Minimal Wear),2026-04-06 21:00:37.712848,6231.86,3,0.0,0
26634,★ Karambit | Blue Steel (Well-Worn),2026-04-06 23:18:04.543946,5418.1,5,0.0,0
66207903,★ Karambit | Bright Water (Factory New),2026-04-06 16:43:43.443982,4284.54,17,0.0,0
26310,★ Karambit | Case Hardened (Battle-Scarred),2026-04-06 23:14:49.035998,4750.94,5,0.0,0
25487,★ Karambit | Case Hardened (Field-Tested),2026-04-06 23:06:09.414411,5294.52,35,0.0,0
26222,★ Karambit | Case Hardened (Minimal Wear),2026-04-06 23:13:44.300211,6659.32,24,0.0,0
25473,★ Karambit | Case Hardened (Well-Worn),2026-04-06 23:06:09.414411,5040.06,7,0.0,0
26763,★ Karambit | Crimson Web (Battle-Scarred),2026-04-06 23:20:14.105087,4324.72,6,0.0,0
24709,★ Karambit | Crimson Web (Field-Tested),2026-04-06 20:59:32.605741,4923.72,10,0.0,0
26699,★ Karambit | Crimson Web (Minimal Wear),2026-04-06 23:19:09.225198,9155.12,4,0.0,0
24704,★ Karambit | Damascus Steel (Factory New),2026-04-06 20:59:32.605741,5243.52,14,0.0,0
27377,★ Karambit | Damascus Steel (Field-Tested),2026-04-06 23:26:44.368006,4532.25,16,0.0,0
25464,★ Karambit | Damascus Steel (Minimal Wear),2026-04-06 23:06:09.414411,4788.77,15,0.0,0
27185,★ Karambit | Damascus Steel (Well-Worn),2026-04-06 23:24:34.181982,4685.05,1,0.0,0
22702,★ Karambit | Doppler (Factory New),2026-04-06 20:37:52.478664,9875.15,332,0.0,0
74369341,★ Karambit | Freehand (Factory New),2026-04-06 16:43:43.443982,4427.69,13,0.0,0
65018514,★ Karambit | Lore (Field-Tested),2026-04-06 16:43:43.443982,4501.37,32,0.0,0
42428103,★ Karambit | Lore (Minimal Wear),2026-04-06 16:41:42.307518,6623.27,18,0.0,0
26250,★ Karambit | Marble Fade (Factory New),2026-04-06 23:14:49.035998,8177.6,84,0.0,0
24756,★ Karambit | Night (Minimal Wear),2026-04-06 21:00:37.712848,4944.26,3,0.0,0
24487,★ Karambit | Slaughter (Minimal Wear),2026-04-06 20:57:22.648193,7194.98,12,0.0,0
27548,★ Karambit | Stained (Minimal Wear),2026-04-06 23:27:49.212140,4462.22,6,0.0,0
23711,★ Karambit | Tiger Tooth (Factory New),2026-04-06 20:48:42.679147,6961.13,38,0.0,0
26949,★ Karambit | Ultraviolet (Minimal Wear),2026-04-06 23:21:19.247592,5088.52,8,0.0,0
25940,★ M9 Bayonet,2026-04-06 23:10:29.160742,6047.98,44,0.0,0
159462345,★ M9 Bayonet | Autotronic (Field-Tested),2026-04-06 16:47:43.218355,5281.64,42,0.0,0
27009,★ M9 Bayonet | Blue Steel (Minimal Wear),2026-04-06 23:22:24.277255,4151.18,6,0.0,0
27165,★ M9 Bayonet | Case Hardened (Minimal Wear),2026-04-06 23:24:34.181982,4322.17,15,0.0,0
