platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
27419,StatTrak™ P90 | Shapewood (Battle-Scarred),2026-04-06 23:26:44.368006,55.0,16,34.4,1
27213,StatTrak™ P90 | Shapewood (Factory New),2026-04-06 23:24:34.181982,381.7,6,246.0,3
26848,StatTrak™ P90 | Shapewood (Field-Tested),2026-04-06 23:20:14.105087,61.5,20,61.0,4
25901,StatTrak™ P90 | Shapewood (Minimal Wear),2026-04-06 23:10:29.160742,99.11,12,74.0,3
26810,StatTrak™ P90 | Shapewood (Well-Worn),2026-04-06 23:20:14.105087,59.0,16,47.0,7
553468062,StatTrak™ P90 | Traction (Battle-Scarred),2026-04-06 17:25:43.152756,2.81,62,,
553468144,StatTrak™ P90 | Traction (Factory New),2026-04-06 17:25:43.152756,42.6,10,3.0,2
553468054,StatTrak™ P90 | Traction (Field-Tested),2026-04-06 17:25:43.152756,3.05,54,1.7,1
26460,StatTrak™ P90 | Trigon (Battle-Scarred),2026-04-06 23:16:59.160652,143.75,18,119.0,7
24044,StatTrak™ P90 | Trigon (Field-Tested),2026-04-06 20:53:02.488690,98.44,71,88.0,3
23558,StatTrak™ P90 | Trigon (Minimal Wear),2026-04-06 20:47:37.761074,164.3,8,200.0,4
23423,StatTrak™ P90 | Virus (Battle-Scarred),2026-04-06 20:46:32.420472,32.05,6,,
27519,StatTrak™ P90 | Virus (Factory New),2026-04-06 23:27:49.212140,229.0,2,90.0,2
25874,StatTrak™ P90 | Virus (Field-Tested),2026-04-06 23:10:29.160742,26.03,11,13.8,5
26218,StatTrak™ P90 | Virus (Minimal Wear),2026-04-06 23:13:44.300211,40.12,12,,
24390,StatTrak™ P90 | Virus (Well-Worn),2026-04-06 20:56:17.623564,33.0,5,,
26935,StatTrak™ PP-Bizon | Antique (Battle-Scarred),2026-04-06 23:21:19.247592,80.22,5,,
24841,StatTrak™ PP-Bizon | Antique (Factory New),2026-04-06 21:01:42.717314,91.3,25,,
22786,StatTrak™ PP-Bizon | Antique (Field-Tested),2026-04-06 20:38:57.428203,54.6,23,23.3,1
25920,StatTrak™ PP-Bizon | Antique (Minimal Wear),2026-04-06 23:10:29.160742,66.7,25,42.0,2
26764,StatTrak™ PP-Bizon | Antique (Well-Worn),2026-04-06 23:20:14.105087,63.79,8,,
27133,StatTrak™ PP-Bizon | Blue Streak (Battle-Scarred),2026-04-06 23:23:29.393383,32.69,9,,
25558,StatTrak™ PP-Bizon | Blue Streak (Field-Tested),2026-04-06 23:07:14.052468,30.36,41,,
25329,StatTrak™ PP-Bizon | Blue Streak (Minimal Wear),2026-04-06 23:03:59.118314,57.76,14,,
25921,StatTrak™ PP-Bizon | Blue Streak (Well-Worn),2026-04-06 23:10:29.160742,37.01,6,,
26464,StatTrak™ PP-Bizon | Cobalt Halftone (Factory New),2026-04-06 23:16:59.160652,29.92,5,,
24665,StatTrak™ PP-Bizon | Cobalt Halftone (Field-Tested),2026-04-06 20:59:32.605741,8.46,33,6.2,14
24223,StatTrak™ PP-Bizon | Cobalt Halftone (Minimal Wear),2026-04-06 20:55:12.610454,11.86,72,9.4,9
