local_item_id,market_hash_name,chinese_name,tier,enabled
5778,Sticker | Fnatic (Foil) | Cologne 2016,印花 | Fnatic（闪亮）| 2016年科隆锦标赛,2,1
5779,StatTrak™ XM1014 | Black Tie (Field-Tested),XM1014（StatTrak™） | 西装革履 (久经沙场),2,1
5780,★ StatTrak™ Butterfly Knife | Boreal Forest (Minimal Wear),蝴蝶刀（★ StatTrak™） | 北方森林 (略有磨损),2,1
5781,StatTrak™ P250 | Iron Clad (Field-Tested),P250（StatTrak™） | 铠甲 (久经沙场),2,1
5782,StatTrak™ MP9 | Bioleak (Field-Tested),MP9（StatTrak™） | 生化泄漏 (久经沙场),2,1
5783,StatTrak™ Tec-9 | Ice Cap (Minimal Wear),Tec-9（StatTrak™） | 冰冠 (略有磨损),2,1
5784,StatTrak™ Galil AR | Firefight (Field-Tested),加利尔AR（StatTrak™） | 火线冲锋 (久经沙场),2,1
5785,StatTrak™ P250 | Asiimov (Field-Tested),P250（StatTrak™） | 二西莫夫 (久经沙场),2,1
5786,AWP | Phobos (Factory New),AWP | 火卫一 (崭新出厂),2,1
5787,StatTrak™ Galil AR | Firefight (Well-Worn),加利尔AR（StatTrak™） | 火线冲锋 (破损不堪),2,1
5788,StatTrak™ P2000 | Oceanic (Factory New),P2000（StatTrak™） | 海洋 (崭新出厂),2,1
5789,G3SG1 | Orange Crash (Battle-Scarred),G3SG1 | 橙光冲击 (战痕累累),2,1
5793,★ StatTrak™ Gut Knife | Tiger Tooth (Factory New),穿肠刀（★ StatTrak™） | 虎牙 (崭新出厂),2,1
5798,UMP-45 | Primal Saber (Battle-Scarred),UMP-45 | 野蛮剑齿虎 (战痕累累),2,1
5799,StatTrak™ P2000 | Oceanic (Battle-Scarred),P2000（StatTrak™） | 海洋 (战痕累累),2,1
5800,★ Bowie Knife | Blue Steel (Field-Tested),鲍伊猎刀（★） | 蓝钢 (久经沙场),2,1
5901,AUG | Fleet Flock (Factory New),AUG | 燕群 (崭新出厂),2,1
5902,★ Huntsman Knife | Boreal Forest (Minimal Wear),猎杀者匕首（★） | 北方森林 (略有磨损),2,1
5904,Sticker | rain | Cologne 2016,印花 | rain | 2016年科隆锦标赛,2,1
5905,Sticker | NAF | Cologne 2016,印花 | NAF | 2016年科隆锦标赛,2,1
5906,Sticker | stanislaw | Cologne 2016,印花 | stanislaw | 2016年科隆锦标赛,2,1
5907,Sawed-Off | Limelight (Factory New),截短霰弹枪 | 聚光灯 (崭新出厂),2,1
5908,Sticker | flamie (Foil) | Cologne 2016,印花 | flamie（闪亮）| 2016年科隆锦标赛,2,1
5909,Sticker | jdm64 (Foil) | Cologne 2016,印花 | jdm64（闪亮）| 2016年科隆锦标赛,2,1
5911,Sticker | dennis (Foil) | Cologne 2016,印花 | dennis（闪亮）| 2016年科隆锦标赛,2,1
5912,Sticker | pita (Foil) | Cologne 2016,印花 | pita（闪亮）| 2016年科隆锦标赛,2,1
5913,StatTrak™ AWP | Elite Build (Factory New),AWP（StatTrak™） | 精英之作 (崭新出厂),2,1
5914,★ StatTrak™ Karambit | Damascus Steel (Minimal Wear),爪子刀（★ StatTrak™） | 大马士革钢 (略有磨损),2,1
5916,CZ75-Auto | Red Astor (Factory New),CZ75自动型 | 红鹰 (崭新出厂),2,1
5917,★ StatTrak™ Bayonet | Damascus Steel (Field-Tested),刺刀（★ StatTrak™） | 大马士革钢 (久经沙场),2,1
5918,Sticker | nitr0 | Cologne 2016,印花 | nitr0 | 2016年科隆锦标赛,2,1
5919,Sticker | mousesports (Foil) | Cologne 2016,印花 | mousesports（闪亮）| 2016年科隆锦标赛,2,1
5920,StatTrak™ AWP | Phobos (Field-Tested),AWP（StatTrak™） | 火卫一 (久经沙场),2,1
5922,StatTrak™ AK-47 | Fuel Injector (Minimal Wear),AK-47（StatTrak™） | 燃料喷射器 (略有磨损),2,1
5923,XM1014 | Black Tie (Field-Tested),XM1014 | 西装革履 (久经沙场),2,1
5924,M4A1-S | Chantico's Fire (Field-Tested),M4A1消音版 | 女火神之炽焰 (久经沙场),2,1
5926,StatTrak™ M249 | Spectre (Minimal Wear),M249（StatTrak™） | 鬼影 (略有磨损),2,1
5928,StatTrak™ AWP | Elite Build (Battle-Scarred),AWP（StatTrak™） | 精英之作 (战痕累累),2,1
5929,StatTrak™ Nova | Hyper Beast (Battle-Scarred),新星（StatTrak™） | 暴怒野兽 (战痕累累),2,1
5930,★ Bowie Knife | Urban Masked (Minimal Wear),鲍伊猎刀（★） | 都市伪装 (略有磨损),2,1
5931,Sticker | NiKo (Foil) | MLG Columbus 2016,印花 | NiKo（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5932,PP-Bizon | Harvester (Battle-Scarred),PP-野牛 | 收割机 (战痕累累),2,1
5933,StatTrak™ P2000 | Oceanic (Well-Worn),P2000（StatTrak™） | 海洋 (破损不堪),2,1
5934,Souvenir SG 553 | Waves Perforated (Minimal Wear),SG 553（纪念品） | 浪花穿孔 (略有磨损),2,1
5936,StatTrak™ Galil AR | Firefight (Battle-Scarred),加利尔AR（StatTrak™） | 火线冲锋 (战痕累累),2,1
5937,StatTrak™ P250 | Asiimov (Well-Worn),P250（StatTrak™） | 二西莫夫 (破损不堪),2,1
5939,StatTrak™ P2000 | Oceanic (Field-Tested),P2000（StatTrak™） | 海洋 (久经沙场),2,1
5940,Sticker | f0rest (Foil) | Cologne 2016,印花 | f0rest（闪亮）| 2016年科隆锦标赛,2,1
5941,Sticker | KRIMZ (Foil) | Cologne 2016,印花 | KRIMZ（闪亮）| 2016年科隆锦标赛,2,1
5942,StatTrak™ SG 553 | Atlas (Battle-Scarred),SG 553（StatTrak™） | 擎天神 (战痕累累),2,1
5943,StatTrak™ Tec-9 | Ice Cap (Factory New),Tec-9（StatTrak™） | 冰冠 (崭新出厂),2,1
5944,StatTrak™ PP-Bizon | Judgement of Anubis (Field-Tested),PP-野牛（StatTrak™） | 阿努比斯之审判 (久经沙场),2,1
