local_item_id,platform,platform_item_id
4282,C5,26634
4282,BUFF,42974
4282,HALOSKINS,26634
2150,YOUPIN,43950
2150,C5,24476
2150,BUFF,35223
2150,HALOSKINS,24476
19742,YOUPIN,62039
19742,C5,915145079265828864
19742,BUFF,871931
19742,HALOSKINS,915145079265828864
1404,YOUPIN,48059
1404,C5,23722
1404,BUFF,42543
1404,HALOSKINS,23722
4171,YOUPIN,51258
4171,C5,26523
4171,BUFF,42971
4171,HALOSKINS,26523
19730,YOUPIN,62044
19730,C5,915087871968735232
19730,BUFF,871903
19730,HALOSKINS,915087871968735232
4471,YOUPIN,45156
4471,C5,26823
4471,BUFF,43130
4471,HALOSKINS,26823
2374,YOUPIN,50064
2374,C5,24704
2374,BUFF,42994
2374,HALOSKINS,24704
19727,YOUPIN,62036
19727,C5,915080206284234752
19727,BUFF,871935
19727,HALOSKINS,915080206284234752
1683,YOUPIN,35222
1683,C5,24005
1683,BUFF,42547
1683,HALOSKINS,24005
1959,YOUPIN,5124
1959,C5,24281
1959,BUFF,33974
1959,HALOSKINS,24281
6927,YOUPIN,44678
6927,C5,159462345
6927,BUFF,43055
6927,HALOSKINS,159462345
4351,YOUPIN,43811
4351,C5,26703
4351,BUFF,42549
4351,HALOSKINS,26703
3625,YOUPIN,49372
3625,C5,25967
3625,BUFF,43136
3625,HALOSKINS,25967
17966,YOUPIN,50468
17966,C5,809194502093930496
17966,BUFF,835753
17966,HALOSKINS,809194502093930496
6713,YOUPIN,2298
6713,C5,135147930
6713,BUFF,42968
6713,HALOSKINS,135147930
3148,YOUPIN,9512
3148,C5,25487
3148,BUFF,42986
3148,HALOSKINS,25487
5654,YOUPIN,56824
5654,C5,1228321
5654,BUFF,43839
5654,HALOSKINS,1228321
4595,YOUPIN,487
4595,C5,26949
4595,BUFF,43046
4595,HALOSKINS,26949
19841,YOUPIN,62043
19841,C5,916811326848704512
19841,BUFF,871765
19841,HALOSKINS,916811326848704512
2949,YOUPIN,5882
2949,C5,25286
2949,BUFF,42567
2949,HALOSKINS,25286
11803,YOUPIN,47127
11803,C5,553479533
11803,BUFF,759581
11803,HALOSKINS,553479533
5009,YOUPIN,46966
5009,C5,27366
5009,BUFF,42545
5009,HALOSKINS,27366
3134,YOUPIN,48492
3134,C5,25473
3134,BUFF,42988
3134,HALOSKINS,25473
8006,YOUPIN,44080
8006,C5,334192251
8006,BUFF,42607
8006,HALOSKINS,334192251
9036,YOUPIN,47417
9036,C5,553429610
9036,BUFF,38315
9036,HALOSKINS,553429610
4059,YOUPIN,36720
4059,C5,26411
4059,BUFF,42585
4059,HALOSKINS,26411
19834,YOUPIN,62025
19834,C5,916571452603424768
19834,BUFF,872054
19834,HALOSKINS,916571452603424768
4821,YOUPIN,43805
4821,C5,27176
4821,BUFF,43129
4821,HALOSKINS,27176
19857,YOUPIN,62032
19857,C5,917263022873047040
19857,BUFF,871992
19857,HALOSKINS,917263022873047040
12131,YOUPIN,58134
12131,C5,553480781
12131,BUFF,760273
12131,HALOSKINS,553480781
1792,YOUPIN,48574
1792,C5,24114
1792,BUFF,34466
1792,HALOSKINS,24114
5968,YOUPIN,55559
5968,C5,3228737
5968,BUFF,43744
5968,HALOSKINS,3228737
19596,YOUPIN,61402
19596,C5,914726163117477888
19596,BUFF,871340
19596,HALOSKINS,914726163117477888
12939,YOUPIN,55310
12939,C5,553482884
12939,BUFF,769557
12939,HALOSKINS,553482884
3961,YOUPIN,52362
3961,C5,26310
3961,BUFF,42984
3961,HALOSKINS,26310
5053,YOUPIN,44082
5053,C5,27410
5053,BUFF,42541
5053,HALOSKINS,27410
3460,YOUPIN,55477
3460,C5,25800
3460,BUFF,40982
3460,HALOSKINS,25800
3125,YOUPIN,3574
3125,C5,25464
3125,BUFF,42996
3125,HALOSKINS,25464
8072,YOUPIN,1809
8072,C5,354728585
8072,BUFF,42970
8072,HALOSKINS,354728585
2379,YOUPIN,45777
2379,C5,24709
2379,BUFF,42990
2379,HALOSKINS,24709
4368,YOUPIN,52591
4368,C5,26720
4368,BUFF,39739
4368,HALOSKINS,26720
4560,YOUPIN,49651
4560,C5,26914
4560,BUFF,34760
4560,HALOSKINS,26914
5367,YOUPIN,53890
5367,C5,27724
5367,BUFF,43432
5367,HALOSKINS,27724
2426,YOUPIN,52724
2426,C5,24756
2426,BUFF,43021
2426,HALOSKINS,24756
3161,YOUPIN,53224
3161,C5,25500
3161,BUFF,38173
3161,HALOSKINS,25500
5191,YOUPIN,52131
5191,C5,27548
5191,BUFF,43039
5191,HALOSKINS,27548
18330,YOUPIN,57053
18330,C5,813152471018524672
18330,BUFF,836541
18330,HALOSKINS,813152471018524672
6045,YOUPIN,44633
6045,C5,3792684
6045,BUFF,42966
6045,HALOSKINS,3792684
7891,YOUPIN,3320
7891,C5,295893123
7891,BUFF,35261
7891,HALOSKINS,295893123
19763,YOUPIN,62045
19763,C5,915321388631506944
19763,BUFF,871868
19763,HALOSKINS,915321388631506944
5115,YOUPIN,56712
5115,C5,27472
5115,BUFF,43729
5115,HALOSKINS,27472
17981,YOUPIN,51135
17981,C5,809255099961180160
17981,BUFF,835873
17981,HALOSKINS,809255099961180160
12954,YOUPIN,53691
12954,C5,553482909
12954,BUFF,769837
12954,HALOSKINS,553482909
1791,YOUPIN,43801
1791,C5,24113
1791,BUFF,34471
1791,HALOSKINS,24113
19929,YOUPIN,100368
19929,C5,921988678191894528
19929,BUFF,872098
19929,HALOSKINS,921988678191894528
4811,YOUPIN,44953
4811,C5,27166
4811,BUFF,33910
4811,HALOSKINS,27166
3353,YOUPIN,46920
3353,C5,25693
3353,BUFF,34419
3353,HALOSKINS,25693
2459,YOUPIN,44763
2459,C5,24789
2459,BUFF,42584
2459,HALOSKINS,24789
2550,YOUPIN,52240
2550,C5,24882
2550,BUFF,34468
2550,HALOSKINS,24882
5314,YOUPIN,53759
5314,C5,27671
5314,BUFF,34473
5314,HALOSKINS,27671
19920,YOUPIN,62040
19920,C5,920507410682155008
19920,BUFF,872038
19920,HALOSKINS,920507410682155008
19819,YOUPIN,100372
19819,C5,916249226537385984
19819,BUFF,871838
19819,HALOSKINS,916249226537385984
6549,YOUPIN,53050
6549,C5,74369341
6549,BUFF,43007
6549,HALOSKINS,74369341
8520,YOUPIN,46154
8520,C5,553370520
8520,BUFF,43253
8520,HALOSKINS,553370520
8552,YOUPIN,53392
8552,C5,553370635
8552,BUFF,43434
8552,HALOSKINS,553370635
2902,YOUPIN,45768
2902,C5,25239
2902,BUFF,34100
2902,HALOSKINS,25239
19765,YOUPIN,62038
19765,C5,915360594005286912
19765,BUFF,871888
19765,HALOSKINS,915360594005286912
4830,YOUPIN,54948
4830,C5,27185
4830,BUFF,42997
4830,HALOSKINS,27185
8970,YOUPIN,43649
8970,C5,553427241
8970,BUFF,35300
8970,HALOSKINS,553427241
5020,YOUPIN,43679
5020,C5,27377
5020,BUFF,42995
5020,HALOSKINS,27377
8673,YOUPIN,44262
8673,C5,553370939
8673,BUFF,42590
8673,HALOSKINS,553370939
6501,YOUPIN,44076
6501,C5,65018514
6501,BUFF,43014
6501,HALOSKINS,65018514
12137,YOUPIN,43398
12137,C5,553480796
12137,BUFF,763469
12137,HALOSKINS,553480796
11124,YOUPIN,1162
11124,C5,553478524
11124,BUFF,760798
11124,HALOSKINS,553478524
19749,YOUPIN,62030
19749,C5,915186829395279872
19749,BUFF,872010
19749,HALOSKINS,915186829395279872
19796,YOUPIN,100349
19796,C5,915813251249487872
19796,BUFF,871847
19796,HALOSKINS,915813251249487872
19831,YOUPIN,62020
19831,C5,916467030819717120
19831,BUFF,871989
19831,HALOSKINS,916467030819717120
4411,YOUPIN,52982
4411,C5,26763
4411,BUFF,42989
4411,HALOSKINS,26763
4602,YOUPIN,43713
4602,C5,26956
4602,BUFF,42586
4602,HALOSKINS,26956
18005,YOUPIN,50324
18005,C5,809327260119728128
18005,BUFF,835861
18005,HALOSKINS,809327260119728128
4655,YOUPIN,52775
4655,C5,27009
4655,BUFF,43066
4655,HALOSKINS,27009
19913,YOUPIN,62042
19913,C5,919923713335316480
19913,BUFF,872055
19913,HALOSKINS,919923713335316480
19732,YOUPIN,62033
19732,C5,915095348686757888
19732,BUFF,871917
19732,HALOSKINS,915095348686757888
8074,YOUPIN,885
8074,C5,356073405
8074,BUFF,43147
8074,HALOSKINS,356073405
10666,YOUPIN,44668
10666,C5,553466506
10666,BUFF,45568
10666,HALOSKINS,553466506
2417,YOUPIN,56003
2417,C5,24747
2417,BUFF,43421
2417,HALOSKINS,24747
4390,YOUPIN,47620
4390,C5,26742
4390,BUFF,42546
4390,HALOSKINS,26742
9074,YOUPIN,44601
9074,C5,553432261
9074,BUFF,43423
9074,HALOSKINS,553432261
4810,YOUPIN,48326
4810,C5,27165
4810,BUFF,43080
4810,HALOSKINS,27165
2372,YOUPIN,48325
2372,C5,24701
2372,BUFF,34068
2372,HALOSKINS,24701
14787,YOUPIN,35163
14787,C5,553487279
14787,BUFF,776116
14787,HALOSKINS,553487279
15941,YOUPIN,56973
15941,C5,553492180
15941,BUFF,777088
15941,HALOSKINS,553492180
10637,YOUPIN,43680
10637,C5,553466360
10637,BUFF,45571
10637,HALOSKINS,553466360
3937,YOUPIN,2787
3937,C5,26285
3937,BUFF,42595
3937,HALOSKINS,26285
6524,YOUPIN,51053
6524,C5,66207903
6524,BUFF,42980
6524,HALOSKINS,66207903
